timeframe,engine,model,provider,tier,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,winning_trades,losing_trades,win_rate,exit_reasons
1h,e4-opus,Claude Opus 4.7,Anthropic,플래그십,-40.79726499559065,-44.06143239471202,-4.412939458922289,0.3705313811818237,145.0,37.0,108.0,0.25517241379310346,"SL:108, TP2:37"
1h,e5-sonnet,Claude Sonnet 4.6,Anthropic,중형,-52.21494616451573,-52.21494616451573,-25.17468602765523,0.502945200056802,100.0,41.0,59.0,0.41,"SL:59, TP:41"
1h,e6-gpt5,GPT-5,OpenAI,플래그십,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,—
1h,e7a-gemini-pro,Gemini 3.1-pro-preview,Google,플래그십 (skip — 429 quota),,,,,,,,,skip
1h,e7b-gemini-flash,Gemini 3.1-flash-lite,Google,소형,-0.1,0.0,0.0,,0.0,0.0,0.0,0.0,TrendReversal:0
4h,e4-opus,Claude Opus 4.7,Anthropic,플래그십,-10.133051245886504,-13.838746791623077,-0.8943324735750111,0.7138140412643331,37.0,12.0,25.0,0.32432432432432434,"SL:25, TP2:12"
4h,e5-sonnet,Claude Sonnet 4.6,Anthropic,중형,-20.50518836477355,-33.87923717934626,-15.889225542472925,0.6222414945363245,18.0,9.0,9.0,0.5,"TP:9, SL:9"
4h,e6-gpt5,GPT-5,OpenAI,플래그십,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,—
4h,e7a-gemini-pro,Gemini 3.1-pro-preview,Google,플래그십 (skip — 429 quota),,,,,,,,,skip
4h,e7b-gemini-flash,Gemini 3.1-flash-lite,Google,소형,-0.1,0.0,0.0,,0.0,0.0,0.0,0.0,TrendReversal:0
